"","y14b225","w14edu","sampid","y14g101","y14a034","y14a065","y14a080","y14b308","y14b156z","y14b161","w14type","y14f310","y14b22","y14g7"
"1371",3000,4,3878,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1372",NA,NA,3883,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1373",280,4,3885,2,NA,NA,NA,2,0,1,5,1,110132.7,384142319
"1374",4800,4,3887,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1375",3600,4,3890,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1376",NA,4,3895,1,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1377",300,4,3903,1,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1378",NA,5,3904,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1379",230,4,3905,2,NA,NA,NA,1,5,1,5,1,110132.7,384142319
"1380",200,4,3906,1,NA,NA,NA,2,0,1,5,1,110132.7,384142319
"1381",300,4,3907,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1382",150,4,3908,1,NA,NA,NA,1,2,1,5,1,110132.7,384142319
